ZYYJ	延吉
ZBAR	阿拉善右旗
ZBAL	阿拉善左旗
ZBAD	北京大兴
ZBAA	北京首都
YSSY	悉尼
YSCB	堪培拉
YPTN	凯瑟琳
YPPD	黑德兰港
YPDN	达尔文
YPAD	阿德莱德
YMML	墨尔本
YBRK	罗克汉普顿
YBCS	凯恩斯
YBBN	布里斯班
YBAS	艾丽斯斯普林斯
WSSS	新加坡
WSAP	巴耶利巴
WPDL	帝力
WMKP	槟城
WMKL	兰卡威
WMKK	吉隆坡
WMKJ	新山
WIPP	巨港
WIII	雅加达
WIHH	雅加达哈利姆
WBSB	文莱
WBKW	斗湖
WBKL	纳闽
WBKK	哥打基纳巴卢
WBGS	泗务
WBGR	米里
WBGG	古晋
WBGB	民都鲁
WARR	泗水
WAPP	安汶
WAOO	马辰
WAMM	万雅老
WADL	龙目岛
WADD	巴厘
WABB	比阿克
WAAA	望加锡
VYYY	仰光
VYNT	内比都
VYMD	曼德勒
VYDW	戴维
VVTS	胡志明
VVNB	河内
VVDN	岘港
VVCT	芹苴
VVCR	芽庄
VTUU	乌汶
VTUK	孔敬
VTUD	乌隆他尼
VTSS	宋卡
VTSP	普吉
VTSM	苏梅岛
VTSG	甲米
VTSB	素叻他尼
VTPP	彭世洛
VTCT	清莱
VTCC	清迈
VTBU	罗勇
VTBS	曼谷
VTBD	曼谷廊曼
VOPB	布莱尔港
VOMM	马德拉斯
VOHY	海德拉巴
VOBG	班加罗尔
VMMC	澳门
VLVT	万象
VIJP	斋普尔
VIDP	新德里
VHHH	香港
VGHS	达卡
VECC	加尔各答
VDSV	西哈努克
VDSR	暹粒
VDPP	金边
VANP	那格浦尔
VABB	孟买
UWUU	乌法
UUEE	莫斯科谢列梅捷沃
UUDD	莫斯科
USSS	叶卡捷林堡
USNN	下瓦尔诺夫斯克
USCC	车里雅宾斯克
UNNT	新西伯利亚
UNKL	克拉斯诺亚尔斯克
UNAA	阿巴坎
ULLI	圣彼得堡
UIUU	乌兰乌德
UIBB	布拉茨克
UHWW	海参崴
UHSS	南萨哈林斯克
UHPP	彼得罗巴浦罗夫斯克
UHMM	马加丹
UHMD	UHMD
UHMA	阿纳德尔
UHHH	伯力
UEEE	雅库茨克
UCFM	比什凯克
UATT	阿克纠宾斯克
UAKK	卡拉干达
UAII	奇姆肯特
UACC	努尔苏丹
UAAA	阿拉木图
RPVM	拉普拉普
RPVK	卡利博
RPMZ	ZAMBOANGA
RPMR	三投斯将军
RPMD	达沃
RPLL	马尼拉
RPLI	拉瓦格
RPLC	安吉利斯
RPLB	苏比克湾
RORS	下地岛
ROMY	宫古岛
ROIG	石垣
ROAH	那霸
RKTU	清州
RKTN	大邱
RKSS	金浦
RKSI	首尔
RKPK	釜山
RKPC	济州
RKNY	江原道
RKJB	光州
RJTT	东京羽田
RJSS	仙台
RJSN	新泻
RJSK	秋田
RJSF	福岛
RJSA	青森
RJOT	高松
RJOB	冈山
RJOA	广岛
RJNS	静冈
RJNK	小松
RJGG	名古屋
RJFU	长崎
RJFT	熊本
RJFO	大分
RJFK	鹿尔岛
RJFF	福冈
RJEC	北海道旭川
RJCK	北海道钏路
RJCH	函馆
RJCC	札幌
RJCB	北海道带广
RJBE	神户
RJBB	大阪
RJAH	茨城
RJAF	长野
RJAA	东京成田
RCYU	花莲
RCTP	桃园
RCSS	松山
RCQC	马公
RCNN	台南
RCMQ	台中
RCKH	高雄
RCBS	金门
PWAK	威克岛
PTSA	库塞埃
PTRO	科罗尔
PTPN	波恩培
PKWA	夸贾林
PKMJ	马朱罗
PHOG	卡胡卢伊
PHNL	火奴鲁鲁
PHKO	科纳
PGUM	关岛
PGSN	塞班
PASY	舍姆亚
PANC	安克雷奇
PAKN	萨蒙王
PAFA	费尔班克斯
PADK	埃达克岛
PACD	科德尔湾
OOMS	马斯喀特
OMSJ	沙迦
OMFJ	富查伊拉
OMDB	迪拜
OMAA	阿布扎比
NGTA	塔拉瓦
LSZH	苏黎士
LPLA	拉日什
LOWW	维也纳
LIRQ	佛罗伦萨
LIRF	罗马
LIPZ	威尼斯
LHBP	布达佩斯
LFPO	巴黎奥利
LFPG	巴黎戴高乐
LFLL	里昂
LFBO	图卢兹
LEMD	马德里
LEBL	巴塞罗那
KSJC	圣何塞
KSFO	旧金山
KSEA	西雅图
KSAN	圣地亚哥
KPHX	菲尼克斯
KPDX	波特兰
KPAE	埃弗里特
KONT	安大略市
KOAK	奥克兰
KNLC	勒穆尔
KMWH	摩西湖
KLAX	洛杉矶
KLAS	拉斯维加斯
KJFK	纽约
KIAD	华盛顿
KGTF	大瀑布村
KGEG	斯波坎
KCLE	克利夫兰
KCHS	查尔斯顿
KBOS	波士顿
KBOI	博伊西
KBIL	比灵斯
KBFI	西雅图波音基地
ESSA	斯德哥尔摩
ESGG	哥德堡
EPWA	华沙
ENGM	奥斯陆
EKCH	哥本哈根
EINN	香农
EHAM	阿姆斯特丹
EGSS	伦敦斯坦斯特德
EGPH	爱丁堡
EGPF	格拉斯
EGNM	利兹
EGNJ	亨伯赛
EGLL	伦敦希思罗
EGCC	曼彻斯特
EFRO	洛瓦涅米
EFHK	赫尔辛基
EDHI	汉堡
EDDP	莱比锡哈雷
EDDL	杜塞尔多夫
EDDK	科隆波恩
EDDF	法兰克福
EDDB	柏林
EBBR	布鲁塞尔
CYYZ	多伦多
CYYT	圣约翰斯
CYYR	吉斯贝
CYYQ	丘吉尔
CYYC	卡尔加里
CYXY	怀特霍斯
CYXS	乔治皇子城
CYWG	温尼伯
CYVR	温哥华
CYUL	蒙特利尔
CYOW	渥太华
CYEG	埃德蒙顿
BIKF	凯夫拉维克
BGSF	康克鲁斯瓦格
